task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
NotHotdog,{},128,3e-05,8,2,0.99,0.1,2048,0.50732421875,2048,0.50732421875
NotHotdog,{},128,3e-05,8,2,0.99,0.1,512,0.98974609375,2048,0.98974609375
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.1,2048,0.008598726242780685,157,0.0007568359724245965
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.1,512,0.07430555671453476,216,0.007739257998764515
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.1,512,0.00643274886533618,171,0.0005859375814907253
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.1,2048,0.0055555556900799274,207,0.0006103516207076609
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.1,2048,0.0034426229540258646,305,0.0004882813082076609
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.1,512,0.006147541105747223,244,0.0006835937383584678
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.1,2048,0.21693548560142517,124,0.013183594681322576
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.1,512,0.7931035161018372,29,0.01010742224752903
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.1,2048,0.02432432398200035,37,0.0003906250058207661
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.1,2048,0.013095238246023657,84,0.0005371093866415322
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.1,512,0.01666666753590107,54,0.000244140625
MultiArmedBandit,{},128,3e-05,128,2,0.99,0.1,2048,0.999267578125,128,0.03125
MultiArmedBandit,{},128,3e-05,128,2,0.99,0.1,512,1,128,0.03125
MultiArmedBandit,{},128,3e-05,32,2,0.99,0.1,2048,0.94677734375,128,0.029815673828125
MultiArmedBandit,{},128,3e-05,32,2,0.99,0.1,512,0.99951171875,128,0.03125
MultiArmedBandit,{},128,3e-05,8,2,0.99,0.1,2048,0.251953125,128,0.00811767578125
